slug,title,closed,winner,endDate,volume,upMin,upMax,upLast,upTouched,upTouchTime,upTouchWon,upPoints,downMin,downMax,downLast,downTouched,downTouchTime,downTouchWon,downPoints,url,error
bitcoin-up-or-down-june-19-2026-8am-et,"Bitcoin Up or Down - June 19, 8AM ET",True,Up,2026-06-19T13:00:00Z,61161.807611000084,0.011,0.9995,0.9995,True,2026-06-19T12:20:03+00:00,True,272,0.0005,0.989,0.0005,True,2026-06-19T13:00:03+00:00,False,272,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-8am-et,
bitcoin-up-or-down-june-19-2026-7am-et,"Bitcoin Up or Down - June 19, 7AM ET",True,Up,2026-06-19T12:00:00Z,51334.60566299995,0.395,0.9995,0.9995,False,,False,274,0.0005,0.615,0.0005,True,2026-06-19T11:30:05+00:00,False,274,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-7am-et,
bitcoin-up-or-down-june-19-2026-6am-et,"Bitcoin Up or Down - June 19, 6AM ET",True,Up,2026-06-19T11:00:00Z,31329.51576699993,0.495,0.9995,0.9995,False,,False,269,0.0005,0.505,0.0005,True,2026-06-19T10:10:04+00:00,False,269,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-6am-et,
bitcoin-up-or-down-june-19-2026-5am-et,"Bitcoin Up or Down - June 19, 5AM ET",True,Down,2026-06-19T10:00:00Z,43011.30708399995,0.0005,0.535,0.0005,True,2026-06-19T09:10:04+00:00,False,276,0.465,0.9995,0.9995,False,,False,276,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-5am-et,
bitcoin-up-or-down-june-19-2026-4am-et,"Bitcoin Up or Down - June 19, 4AM ET",True,Down,2026-06-19T09:00:00Z,30592.795086000024,0.0005,0.905,0.0005,True,2026-06-19T09:00:03+00:00,False,274,0.095,0.9995,0.9995,True,2026-06-19T08:40:03+00:00,True,274,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-4am-et,
bitcoin-up-or-down-june-19-2026-3am-et,"Bitcoin Up or Down - June 19, 3AM ET",True,Down,2026-06-19T08:00:00Z,32561.977479000034,0.0005,0.515,0.0005,True,2026-06-19T07:20:03+00:00,False,271,0.485,0.9995,0.9995,False,,False,271,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-3am-et,
bitcoin-up-or-down-june-19-2026-2am-et,"Bitcoin Up or Down - June 19, 2AM ET",True,Up,2026-06-19T07:00:00Z,43053.32556099996,0.465,0.9995,0.9995,False,,False,284,0.0005,0.535,0.0005,True,2026-06-19T06:30:04+00:00,False,284,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-2am-et,
bitcoin-up-or-down-june-19-2026-1am-et,"Bitcoin Up or Down - June 19, 1AM ET",True,Up,2026-06-19T06:00:00Z,16143.121287000016,0.495,0.9995,0.9995,False,,False,271,0.0005,0.505,0.0005,True,2026-06-19T05:20:04+00:00,False,271,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-1am-et,
bitcoin-up-or-down-june-19-2026-12am-et,"Bitcoin Up or Down - June 19, 12AM ET",True,Down,2026-06-19T05:00:00Z,17836.362123000014,0.055,0.535,0.0645,True,2026-06-19T04:40:05+00:00,False,281,0.465,0.945,0.9355,False,,False,281,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-12am-et,
bitcoin-up-or-down-june-18-2026-11pm-et,"Bitcoin Up or Down - June 18, 11PM ET",True,Down,2026-06-19T04:00:00Z,42281.612109999995,0.0005,0.505,0.0005,True,2026-06-19T03:10:04+00:00,False,262,0.495,0.9995,0.9995,False,,False,262,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-11pm-et,
bitcoin-up-or-down-june-18-2026-10pm-et,"Bitcoin Up or Down - June 18, 10PM ET",True,Down,2026-06-19T03:00:00Z,22368.671200999983,0.0005,0.545,0.0005,True,2026-06-19T02:30:05+00:00,False,279,0.455,0.9995,0.9995,False,,False,279,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-10pm-et,
bitcoin-up-or-down-june-18-2026-9pm-et,"Bitcoin Up or Down - June 18, 9PM ET",True,Up,2026-06-19T02:00:00Z,33059.38312399998,0.055,0.9995,0.9995,True,2026-06-19T01:30:04+00:00,True,272,0.0005,0.945,0.0005,True,2026-06-19T02:00:04+00:00,False,272,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-9pm-et,
bitcoin-up-or-down-june-18-2026-8pm-et,"Bitcoin Up or Down - June 18, 8PM ET",True,Up,2026-06-19T01:00:00Z,28101.766150999967,0.345,0.9995,0.9995,False,,False,272,0.0005,0.655,0.0005,True,2026-06-19T00:40:04+00:00,False,272,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-8pm-et,
bitcoin-up-or-down-june-18-2026-7pm-et,"Bitcoin Up or Down - June 18, 7PM ET",True,Up,2026-06-19T00:00:00Z,32174.354029999955,0.375,0.9995,0.9995,False,,False,270,0.0005,0.625,0.0005,True,2026-06-18T23:50:04+00:00,False,270,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-7pm-et,
bitcoin-up-or-down-june-18-2026-6pm-et,"Bitcoin Up or Down - June 18, 6PM ET",True,Down,2026-06-18T23:00:00Z,34623.662580000004,0.0005,0.5,0.0005,True,2026-06-18T22:20:04+00:00,False,268,0.5,0.9995,0.9995,False,,False,268,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-6pm-et,
bitcoin-up-or-down-june-18-2026-5pm-et,"Bitcoin Up or Down - June 18, 5PM ET",True,Down,2026-06-18T22:00:00Z,46208.48013999999,0.0005,0.505,0.0005,True,2026-06-18T21:20:04+00:00,False,261,0.495,0.9995,0.9995,False,,False,261,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-5pm-et,
bitcoin-up-or-down-june-18-2026-4pm-et,"Bitcoin Up or Down - June 18, 4PM ET",True,Up,2026-06-18T21:00:00Z,31335.53456499999,0.485,0.9995,0.9995,False,,False,295,0.0005,0.515,0.0005,True,2026-06-18T20:10:05+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-4pm-et,
bitcoin-up-or-down-june-18-2026-3pm-et,"Bitcoin Up or Down - June 18, 3PM ET",True,Up,2026-06-18T20:00:00Z,25692.331729999998,0.455,0.9995,0.9995,False,,False,294,0.0005,0.545,0.0005,True,2026-06-18T19:40:04+00:00,False,294,https://polymarket.com/event/bitcoin-up-or-down-june-18-2026-3pm-et,
